Year,Category,Round,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
2014,Non-lottery Players,Round4,39,PHI,Jerami Grant,Syracuse,6,447,10909,4111,1727,475,0.463,0.348,0.666,24.4,9.2,3.9,1.1,22.3,0.098,-0.9,3.1
2014,Non-lottery Players,Round4,40,MIN,Glenn Robinson,Michigan,6,279,4887,1664,721,218,0.459,0.372,0.769,17.5,6,2.6,0.8,7.5,0.074,-1.5,0.6
2014,Non-lottery Players,Round5,41,DEN,Nikola Jokić,,5,373,10819,6319,3609,2032,0.524,0.338,0.825,29,16.9,9.7,5.4,48,0.213,7.1,25
2014,Non-lottery Players,Round5,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3
2014,Non-lottery Players,Round5,43,ATL,Edy Tavares,,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0
2014,Non-lottery Players,Round5,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4
2014,Non-lottery Players,Round5,45,CHH,Dwight Powell,Stanford,6,371,6956,2867,1711,364,0.563,0.293,0.739,18.7,7.7,4.6,1,26.1,0.18,1.5,6.1
2014,Non-lottery Players,Round5,46,WAS,Jordan Clarkson,Missouri,6,445,12054,6573,1404,1152,0.447,0.341,0.818,27.1,14.8,3.2,2.6,14,0.056,-0.7,3.9
2014,Non-lottery Players,Round5,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-5.1,-0.1
2014,Non-lottery Players,Round5,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4
2014,Non-lottery Players,Round5,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-8.1,-0.3
2014,Non-lottery Players,Round5,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round6,51,NYK,Thanasis Antetokounmpo,,2,20,99,51,20,9,0.55,0,0.467,5,2.6,1,0.5,0.2,0.095,-1.8,0
2014,Non-lottery Players,Round6,52,PHI,Vasilije Micić,,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round6,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round6,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round6,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8
2014,Non-lottery Players,Round6,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4
2014,Non-lottery Players,Round6,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round6,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0
2014,Non-lottery Players,Round6,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
2014,Non-lottery Players,Round6,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2
2015,Lottery Players,Round1,1,MIN,Karl-Anthony Towns,Kentucky,5,358,12307,8113,4209,992,0.534,0.396,0.831,34.4,22.7,11.8,2.8,50.4,0.197,4.8,21.2
2015,Lottery Players,Round1,2,LAL,D'Angelo Russell,Ohio State,5,317,9204,5532,1176,1666,0.42,0.356,0.772,29,17.5,3.7,5.3,8.4,0.044,0.4,5.5
2015,Lottery Players,Round1,3,PHI,Jahlil Okafor,Duke,5,218,4437,2392,1095,211,0.536,0.235,0.674,20.4,11,5,1,6.4,0.069,-2,0
2015,Lottery Players,Round1,4,NYK,Kristaps Porziņģis,,4,237,7361,4293,1800,337,0.433,0.357,0.798,31.1,18.1,7.6,1.4,16.4,0.107,1,5.6
2015,Lottery Players,Round1,5,ORL,Mario Hezonja,,5,324,6003,2253,1004,407,0.418,0.321,0.813,18.5,7,3.1,1.3,3.1,0.025,-2.8,-1.2
2015,Lottery Players,Round1,6,SAC,Willie Cauley-Stein,Kentucky,5,349,8187,3361,2194,553,0.539,0.211,0.611,23.5,9.6,6.3,1.6,20.3,0.119,0.1,4.3
2015,Lottery Players,Round1,7,DEN,Emmanuel Mudiay,,5,294,7078,3252,873,1130,0.401,0.323,0.743,24.1,11.1,3,3.8,-0.1,-0.001,-3.1,-2.1
2015,Lottery Players,Round1,8,DET,Stanley Johnson,Arizona,5,305,6256,2008,986,431,0.372,0.291,0.765,20.5,6.6,3.2,1.4,3.2,0.025,-2.9,-1.5
2015,Lottery Players,Round1,9,CHO,Frank Kaminsky,Wisconsin,5,314,6970,3110,1280,523,0.423,0.349,0.749,22.2,9.9,4.1,1.7,12.4,0.085,-0.6,2.5
2015,Lottery Players,Round1,10,MIA,Justise Winslow,Duke,5,241,6848,2181,1295,657,0.417,0.337,0.646,28.4,9,5.4,2.7,7.7,0.054,-1.8,0.3
2015,Lottery Players,Round2,11,IND,Myles Turner,Texas,5,335,9491,4255,2229,410,0.488,0.354,0.768,28.3,12.7,6.7,1.2,25.9,0.131,0.6,6.2
2015,Lottery Players,Round2,12,UTA,Trey Lyles,Kentucky,5,351,6322,2602,1488,375,0.433,0.341,0.708,18,7.4,4.2,1.1,10.3,0.078,-1.2,1.3
2015,Lottery Players,Round2,13,PHO,Devin Booker,Kentucky,5,334,11186,7439,1203,1562,0.447,0.355,0.868,33.5,22.3,3.6,4.7,15.9,0.068,-0.3,4.8
2015,Lottery Players,Round2,14,OKC,Cameron Payne,Murray State,4,153,2454,914,274,382,0.397,0.331,0.775,16,6,1.8,2.5,2.2,0.044,-2.3,-0.2
2015,Lottery Players,Round2,15,ATL,Kelly Oubre,Kansas,5,348,8375,3783,1443,327,0.431,0.329,0.778,24.1,10.9,4.1,0.9,12,0.069,-1.9,0.2
2015,Lottery Players,Round2,16,BOS,Terry Rozier,Louisville,5,335,7597,3224,1249,890,0.394,0.371,0.813,22.7,9.6,3.7,2.7,12.9,0.082,-0.1,3.7
2015,Lottery Players,Round2,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
2015,Lottery Players,Round2,18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,0.478,0.288,0.606,15.5,5.5,3,0.8,5.4,0.083,-1.4,0.5
2015,Lottery Players,Round2,19,WAS,Jerian Grant,Notre Dame,4,273,4918,1665,524,796,0.412,0.324,0.771,18,6.1,1.9,2.9,8.3,0.081,-1.5,0.6
2015,Lottery Players,Round2,20,TOR,Delon Wright,Utah,5,263,5219,1935,808,756,0.451,0.345,0.794,19.8,7.4,3.1,2.9,14.8,0.137,2.2,5.6
2015,Non-lottery Players,Round3,21,DAL,Justin Anderson,Virginia,5,219,2874,1157,556,143,0.418,0.3,0.776,13.1,5.3,2.5,0.7,4.6,0.077,-1.2,0.6
2015,Non-lottery Players,Round3,22,CHI,Bobby Portis,Arkansas,5,315,6437,3215,1872,380,0.456,0.36,0.754,20.4,10.2,5.9,1.2,10.8,0.081,-1.3,1.1
2015,Non-lottery Players,Round3,23,POR,Rondae Hollis-Jefferson,Arizona,5,286,6528,2690,1629,550,0.448,0.214,0.738,22.8,9.4,5.7,1.9,12.3,0.09,-0.7,2.2
2015,Non-lottery Players,Round3,24,CLE,Tyus Jones,Duke,5,312,5606,1733,483,1108,0.431,0.345,0.803,18,5.6,1.5,3.6,11.4,0.097,0,2.8
2015,Non-lottery Players,Round3,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
2015,Non-lottery Players,Round3,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round3,27,LAL,Larry Nance,Wyoming,5,315,7396,2562,2094,559,0.537,0.324,0.695,23.5,8.1,6.6,1.8,20.3,0.132,1.3,6.1
2015,Non-lottery Players,Round3,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0
2015,Non-lottery Players,Round3,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1
2015,Non-lottery Players,Round3,30,GSW,Kevon Looney,UCLA,5,224,3121,979,832,214,0.57,0.15,0.601,13.9,4.4,3.7,1,10.3,0.158,-0.5,1.1
2015,Non-lottery Players,Round4,31,MIN,Cedi Osman,,3,202,5026,1947,708,390,0.437,0.364,0.717,24.9,9.6,3.5,1.9,3.9,0.038,-2.9,-1.2
2015,Non-lottery Players,Round4,32,HOU,Montrezl Harrell,Louisville,5,318,6643,4037,1570,424,0.614,0.1,0.638,20.9,12.7,4.9,1.3,26.2,0.19,2.6,7.7
2015,Non-lottery Players,Round4,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
2015,Non-lottery Players,Round4,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
2015,Non-lottery Players,Round4,35,PHI,Willy Hernangómez,,4,209,3006,1444,1130,218,0.531,0.33,0.687,14.4,6.9,5.4,1,8.6,0.137,0.1,1.6
2015,Non-lottery Players,Round4,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2
